City,Date,Occupancy,Property_Revenue,Entire_Home_Revenue,Private_Room_Revenue,Listings_Entire_Homes,Listings_Private_Rooms
New York,1/31/22,0.613,2730.344,81601025.38,30894959.86,19613,17204
New York,2/28/22,0.643,2434.027,74061028.94,28556455.2,19995,17656
New York,3/31/22,0.774,2960.735,90791870.34,34951465.58,20035,17837
New York,4/30/22,0.8,3061.085,99325704.4,36877378.55,20145,17947
New York,5/31/22,0.806,3687.822,51099976.95,16799037.87,11141,8572
New York,6/30/22,0.8,4117.397,108320401.7,39029000.38,18098,13711
New York,7/31/22,0.806,4142.925,106234687.7,37229191.65,18208,13781
New York,8/31/22,0.806,3850.848,96225444.94,34635788.38,18218,13811
New York,9/30/22,0.8,4121.938,94579595.22,37153768,17947,13470
New York,10/31/22,0.806,4037.546,91766656.31,34487069.07,17847,13330
New York,11/30/22,0.733,3586.216,79968174.55,27737625.75,17505,12848
New York,12/31/22,0.728,3666.141,81737599.01,26178160.91,17274,12717
New York,1/31/23,0.452,2078.733,42131980.08,13703787.24,17114,12517
New York,2/28/23,0.536,2000.392,30764870.62,10638710.09,16983,12446
New York,3/31/23,0.645,2801.917,43041219.55,14368818.29,16923,12446
New York,4/30/23,0.764,3355.444,50653126.43,18102068.31,16863,12326
New York,5/31/23,0.774,3594.667,52674819.62,19494595.33,16722,12286
New York,6/30/23,0.771,3447.095,54381086.55,20323984.5,16712,12276
New York,7/31/23,0.839,3575.258,59602824.48,21140535.39,16642,12637
New York,8/31/23,0.806,3578.049,59445613.24,21589805,16642,12597
New York,9/30/23,0.533,3177.618,57176288.76,22665420.18,16532,12507
New York,10/31/23,0.548,2816.643,31308103.61,10161043.68,15197,10880
New York,11/30/23,0.367,1921.2,19049130.02,6491031.491,14775,10409
New York,12/31/23,0.323,1772.6,17679729.98,5991081.276,13450,9616
New York,1/31/24,0.194,1056.2,9073242.678,2699381.843,12717,9154
New York,2/29/24,0.303,1461,7192369.083,2401079.989,12296,8853
New York,3/31/24,0.29,1527.778,9062652.852,3393010.444,12055,8662
New York,4/30/24,0.367,1873,10226981.66,4090764.56,11754,8391
New York,5/31/24,0.452,2327.2,11105716.41,4874722.872,11402,8000
New York,6/30/24,0.267,1817.5,11136662.79,4885182.208,11141,8000
New York,7/31/24,0.484,2324.724,23151016.41,7977762.794,12938,9114
New York,8/31/24,0.516,2612.333,21011971.89,7417586.08,12657,8883
New York,9/30/24,0.544,2873.938,21621885.65,8271537.623,10951,7407
New York,10/31/24,0.62,3119.75,19962766.03,7999685.24,9967,6825
New York,11/30/24,0.5,2503.333,16268572.9,6184358.153,9335,6594
New York,12/31/24,0.452,2577.4,18698621.83,8581543.494,6685,4938
Los Angeles,1/31/22,0.746,3841.263,100605762,9221947.51,18087,4710
Los Angeles,2/28/22,0.821,3493.385,95066939.83,8698938.409,18249,4776
Los Angeles,3/31/22,0.839,3842.571,105830077.2,9861022.578,18260,4824
Los Angeles,4/30/22,0.767,3724.172,103532465.5,9474584.912,18237,4818
Los Angeles,5/31/22,0.742,3720.31,32226980.1,2357051.302,8564,2358
Los Angeles,6/30/22,0.833,4348.005,89311738.9,7326993.419,14472,4195
Los Angeles,7/31/22,0.806,4491.127,89512729.58,7680655.856,14598,4213
Los Angeles,8/31/22,0.806,3994.206,77239735.04,7182796.776,14544,4189
Los Angeles,9/30/22,0.7,3710.471,65660706.31,5836163.408,14191,3980
Los Angeles,10/31/22,0.774,3882.05,58900659.71,5030387.156,13969,3914
Los Angeles,11/30/22,0.733,3662.188,50709312.39,3778667.883,13610,3734
Los Angeles,12/31/22,0.645,3719.164,48791368.96,3207256.065,13520,3692
Los Angeles,1/31/23,0.645,3446.233,35159818.44,2218438.898,13424,3609
Los Angeles,2/28/23,0.714,3367.792,32123303.6,1965849.377,13353,3585
Los Angeles,3/31/23,0.742,3881.127,38007815.86,2262454.426,13161,3519
Los Angeles,4/30/23,0.7,3695.5,35736114.22,2036930.206,12982,3507
Los Angeles,5/31/23,0.742,3793.869,36283375.55,2162237.4,12886,3423
Los Angeles,6/30/23,0.733,3793.388,40248065.01,2299658.74,12808,3393
Los Angeles,7/31/23,0.806,4065.488,51418277.23,2569719.206,13017,3381
Los Angeles,8/31/23,0.839,3931.845,51213318.33,2927116.439,12892,3303
Los Angeles,9/30/23,0.7,3586.18,46603520.67,2663747.483,12724,3058
Los Angeles,10/31/23,0.645,3297.15,26135390.16,1541393.403,11168,2561
Los Angeles,11/30/23,0.5,2560.75,19566225.16,1008347.038,10773,2382
Los Angeles,12/31/23,0.452,2477.314,20883943.78,920339.922,10019,2005
Los Angeles,1/31/24,0.419,2325.6,17374055.52,788502.8203,9995,1981
Los Angeles,2/29/24,0.517,2554.333,15720977.36,813838.3835,9767,1903
Los Angeles,3/31/24,0.581,2967.452,18030260.38,800820.4647,9558,1825
Los Angeles,4/30/24,0.5,2714.167,16249510.84,738926.9945,9301,1777
Los Angeles,5/31/24,0.532,2916.245,16785340.35,802388.6003,9067,1747
Los Angeles,6/30/24,0.448,2629.719,18519692.23,828831.4348,9151,1699
Los Angeles,7/31/24,0.592,3152.192,41565669.91,1770933.726,12227,2202
Los Angeles,8/31/24,0.581,3213.025,35298724.12,1792720.036,11928,2196
Los Angeles,9/30/24,0.533,2800.846,25216995.45,1335835.977,10522,1879
Los Angeles,10/31/24,0.548,3021.6,25722617.4,1358759.485,10270,1795
Los Angeles,11/30/24,0.533,2840.5,22973897.32,1042977.695,10013,1771
Los Angeles,12/31/24,0.452,2853.52,25428125.14,996987.0335,8331,1538
Chicago,1/31/22,0.516,2553.946,28851804.89,3047411.382,6638,2201
Chicago,2/28/22,0.583,2420.236,26848422.55,2877433.907,6675,2223
Chicago,3/31/22,0.742,3028.906,33319356.34,3630316.745,6666,2223
Chicago,4/30/22,0.8,3059.129,33846216.96,3888223.873,6679,2241
Chicago,5/31/22,0.806,3475.878,15587160.51,1510817.182,3525,1156
Chicago,6/30/22,0.833,4202.963,35214855.15,2965830.888,5999,1641
Chicago,7/31/22,0.848,4592.72,37174651.97,3103510.47,6005,1647
Chicago,8/31/22,0.806,3908.618,30739500.39,2628125.64,5977,1656
Chicago,9/30/22,0.8,3840.834,28494354.43,2655387.245,5886,1638
Chicago,10/31/22,0.762,3398.707,24235347.09,2380165.021,5836,1601
Chicago,11/30/22,0.633,2619.323,18191100.23,1743088.575,5790,1580
