Date,Atlanta,Baltimore,Boston,Chicago,Dallas,Denver,Detroit,Honolulu,Houston,Los Angeles,Miami,Saint Paul,New York,Philadelphia,Phoenix,San Diego,Saint Louis,Washington,Queens,Manhattan,Brooklyn,Anaheim
1/31/22,,,304.634,262.73,261.499,293.58,,304.988,,301.209,,274.725,300.164,,,332.99,,286.678,300.164,300.164,300.164,301.209
2/28/22,279.743,286.243,,264.828,,,258.721,,250.563,302.164,301.458,,301.151,281.402,163.261,,256.458,,301.151,301.151,301.151,302.164
3/31/22,,,310.311,268.417,269.347,299.529,,312.158,,306.679,,280.388,305.024,,,339.852,,292.227,305.024,305.024,305.024,306.679
4/30/22,284.925,290.688,,269.569,,,265.074,,256.668,308.302,305.958,,307.781,287.602,167.396,,262.296,,307.781,307.781,307.781,308.302
5/31/22,,,313.578,274.301,274.196,303.51,,317.207,,310.649,,285.784,309.243,,,343.502,,296.559,309.243,309.243,309.243,310.649
6/30/22,291.764,298.273,,277.78,,,272.911,,263.874,314.072,313.509,,313.589,294.207,172.643,,268.513,,313.589,313.589,313.589,314.072
7/31/22,,,315.841,277.311,277.005,308.728,,319.197,,313.415,,289.265,312.615,,,347.462,,299.937,312.615,312.615,312.615,313.415
8/31/22,295.469,298.641,,277.454,,,271.554,,264.074,313.608,314.69,,313.28,294.13,173.952,,268.979,,313.28,313.28,313.28,313.608
9/30/22,,,318.8,278.03,278.297,308.211,,321.799,,315.033,,290.325,313.88,,,350.721,,299.268,313.88,313.88,313.88,315.033
10/31/22,297.058,300.628,,278.415,,,274.52,,262.423,317.014,317.615,,314.338,295.978,176.337,,269.134,,314.338,314.338,314.338,317.014
11/30/22,,,320.702,276.861,279,309.655,,319.971,,314.633,,287.396,314.975,,,348.145,,300.085,314.975,314.975,314.975,314.633
12/31/22,295.452,300.182,,274.577,,,271.647,,258.588,312.601,322.21,,315.656,294.883,175.019,,269.44,,315.656,315.656,315.656,312.601
1/31/23,,,324.27,276.982,281.117,312.392,,320.79,,318.591,,288.761,318.151,,,354.453,,299.149,318.151,318.151,318.151,318.591
2/28/23,299.916,303.749,,277.978,,,276.741,,263.537,317.571,329.065,,319.295,300.882,177.118,,271.581,,319.295,319.295,319.295,317.571
3/31/23,,,324.859,280.279,284.862,316.566,,322.608,,317.873,,289.968,319.038,,,358.026,,302.93,319.038,319.038,319.038,317.873
4/30/23,301.447,306.015,,282.423,,,282.486,,267.002,320.089,333.592,,319.211,301.225,179.824,,273.234,,319.211,319.211,319.211,320.089
5/31/23,,,324.927,283.415,287.133,319.132,,323.708,,320.514,,291.001,320.002,,,361.339,,305.614,320.002,320.002,320.002,320.514
6/30/23,305.066,306.506,,283.627,,,285.638,,268.379,322.055,335.27,,321.29,303.446,180.251,,276.792,,321.29,321.29,321.29,322.055
7/31/23,,,324.746,283.528,288.006,323.298,,325.836,,321.931,,292.223,322.496,,,362.412,,305.273,322.496,322.496,322.496,321.931
8/31/23,308.336,307.978,,283.957,,,287.48,,271.154,324.05,339.347,,324.38,305.742,180.387,,277.451,,324.38,324.38,324.38,324.05
9/30/23,,,327.145,284.375,291.001,324.704,,328.905,,324.984,,296.73,325.613,,,367.185,,309.254,325.613,325.613,325.613,324.984
10/31/23,306.435,307.284,,285.211,,,283.874,,270.329,324.545,341.18,,325.288,306.276,181.391,,277.471,,325.288,325.288,325.288,324.545
11/30/23,,,328.362,283.859,293.591,323.598,,331.428,,323.341,,295.511,324.52,,,366.343,,308.419,324.52,324.52,324.52,323.341
12/31/23,305.978,306.379,,283.76,,,283.757,,270.133,323.456,340.459,,324.691,306.386,179.733,,276.991,,324.691,324.691,324.691,323.456
1/31/24,,,330.746,286.022,296.121,323.278,,333.172,,326.64,,296.135,328.006,,,367.917,,309.961,328.006,328.006,328.006,326.64
2/29/24,309.912,311.665,,287.394,,,284.455,,272.772,328.232,345.151,,328.606,311.227,181.01,,281.311,,328.606,328.606,328.606,328.232
3/31/24,,,335.599,289.069,298.719,325.485,,338.06,,330.671,,297.769,329.829,,,370.858,,313.108,329.829,329.829,329.829,330.671
4/30/24,310.836,314.927,,290.918,,,292.312,,274.834,332.572,348.439,,331.27,313.505,184.462,,284.091,,331.27,331.27,331.27,332.572
5/31/24,,,337.772,292.123,301.567,327.403,,340.521,,332.956,,298.528,332.633,,,372.858,,315.667,332.633,332.633,332.633,332.956
6/30/24,313.01,315.803,,292.106,,,295.222,,274.1,332.357,346.955,,334.782,314.328,185.108,,286.323,,334.782,334.782,334.782,332.357
7/31/24,,,335.963,293.943,299.767,329.418,,340.439,,332.928,,302.458,335.642,,,375.072,,316.445,335.642,335.642,335.642,332.928
8/31/24,313.437,317.366,,294.608,,,297.572,,275.644,333.359,348.158,,336.534,316.061,184.474,,286.561,,336.534,336.534,336.534,333.359
9/30/24,,,338.258,295.979,298.653,329.379,,342.676,,334.123,,302.414,337.889,,,376.221,,317.382,337.889,337.889,337.889,334.123
10/31/24,312.257,317.866,,295.239,,,293.116,,276.116,334.242,350.3,,338.166,316.617,184.214,,284.693,,338.166,338.166,338.166,334.242
11/30/24,,,338.512,294.542,299.096,330.16,,343.189,,333.718,,300.531,338.535,,,375.86,,316.745,338.535,338.535,338.535,333.718
12/31/24,314.086,316.753,,294.757,,,291.791,,272.952,334.531,350.098,,338.61,316.543,182.653,,285.607,,338.61,338.61,338.61,334.531
