City,Date,LF,LFC,LFP
Brooklyn,1/31/22,1268776,5520,0.4
Brooklyn,2/28/22,1271970,3194,0.3
Brooklyn,3/31/22,1270714,-1256,-0.1
Brooklyn,4/30/22,1260145,-10569,-0.8
Brooklyn,5/31/22,1261124,979,0.1
Brooklyn,6/30/22,1264339,3215,0.3
Brooklyn,7/31/22,1269511,5172,0.4
Brooklyn,8/31/22,1269063,-448,0
Brooklyn,9/30/22,1259960,-9103,-0.7
Brooklyn,10/31/22,1272891,12931,1
Brooklyn,11/30/22,1271363,-1528,-0.1
Brooklyn,12/31/22,1273741,2378,0.2
Brooklyn,1/31/23,1277381,3640,0.3
Brooklyn,2/28/23,1293497,16116,1.3
Brooklyn,3/31/23,1296014,2517,0.2
Brooklyn,4/30/23,1283173,-12841,-1
Brooklyn,5/31/23,1287858,4685,0.4
Brooklyn,6/30/23,1294197,6339,0.5
Brooklyn,7/31/23,1300081,5884,0.5
Brooklyn,8/31/23,1302619,2538,0.2
Brooklyn,9/30/23,1289252,-13367,-1
Brooklyn,10/31/23,1299423,10171,0.8
Brooklyn,11/30/23,1299451,28,0
Brooklyn,12/31/23,1289667,-9784,-0.8
Brooklyn,1/31/24,1299227,9560,0.7
Brooklyn,2/29/24,1314410,15183,1.2
Brooklyn,3/31/24,1319951,5541,0.4
Brooklyn,4/30/24,1313886,-6065,-0.5
Brooklyn,5/31/24,1309572,-4314,-0.3
Brooklyn,6/30/24,1322156,12584,1
Brooklyn,7/31/24,1330980,8824,0.7
Brooklyn,8/31/24,1332536,1556,0.1
Brooklyn,9/30/24,1317894,-14642,-1.1
Brooklyn,10/31/24,1323351,5457,0.4
Brooklyn,11/30/24,1319015,-4336,-0.3
Brooklyn,12/31/24,1318019,-996,-0.1
Manhattan,1/31/22,882494,27718,3.2
Manhattan,2/28/22,886726,4232,0.5
Manhattan,3/31/22,888119,1393,0.2
Manhattan,4/30/22,880167,-7952,-0.9
Manhattan,5/31/22,882875,2708,0.3
Manhattan,6/30/22,885777,2902,0.3
Manhattan,7/31/22,887829,2052,0.2
Manhattan,8/31/22,887804,-25,0
Manhattan,9/30/22,883114,-4690,-0.5
Manhattan,10/31/22,891564,8450,1
Manhattan,11/30/22,890337,-1227,-0.1
Manhattan,12/31/22,892843,2506,0.3
Manhattan,1/31/23,906473,13630,1.5
Manhattan,2/28/23,919130,12657,1.4
Manhattan,3/31/23,921553,2423,0.3
Manhattan,4/30/23,911585,-9968,-1.1
Manhattan,5/31/23,915561,3976,0.4
Manhattan,6/30/23,920371,4810,0.5
Manhattan,7/31/23,923836,3465,0.4
Manhattan,8/31/23,925462,1626,0.2
Manhattan,9/30/23,917118,-8344,-0.9
Manhattan,10/31/23,924412,7294,0.8
Manhattan,11/30/23,925123,711,0.1
Manhattan,12/31/23,917922,-7201,-0.8
Manhattan,1/31/24,924438,6516,0.7
Manhattan,2/29/24,935463,11025,1.2
Manhattan,3/31/24,940256,4793,0.5
Manhattan,4/30/24,935115,-5141,-0.5
Manhattan,5/31/24,931326,-3789,-0.4
Manhattan,6/30/24,940058,8732,0.9
Manhattan,7/31/24,945640,5582,0.6
Manhattan,8/31/24,946335,695,0.1
Manhattan,9/30/24,937489,-8846,-0.9
Manhattan,10/31/24,941077,3588,0.4
Manhattan,11/30/24,937092,-3985,-0.4
Manhattan,12/31/24,936739,-353,0
Queens,1/31/22,1144206,566,0
Queens,2/28/22,1147335,3129,0.3
Queens,3/31/22,1146719,-616,-0.1
Queens,4/30/22,1135493,-11226,-1
Queens,5/31/22,1137117,1624,0.1
Queens,6/30/22,1139448,2331,0.2
Queens,7/31/22,1141853,2405,0.2
Queens,8/31/22,1140827,-1026,-0.1
Queens,9/30/22,1133748,-7079,-0.6
Queens,10/31/22,1145137,11389,1
Queens,11/30/22,1143631,-1506,-0.1
Queens,12/31/22,1146060,2429,0.2
Queens,1/31/23,1147907,1847,0.2
Queens,2/28/23,1162576,14669,1.3
Queens,3/31/23,1164547,1971,0.2
Queens,4/30/23,1152209,-12338,-1.1
Queens,5/31/23,1155939,3730,0.3
Queens,6/30/23,1161885,5946,0.5
Queens,7/31/23,1166006,4121,0.4
Queens,8/31/23,1167435,1429,0.1
Queens,9/30/23,1156248,-11187,-1
Queens,10/31/23,1165515,9267,0.8
Queens,11/30/23,1165730,215,0
