City,Date,UR,URC,URP
Brooklyn,1/31/22,7.8,0.4,5.4
Brooklyn,2/28/22,7,-0.8,-10.3
Brooklyn,3/31/22,6.2,-0.8,-11.4
Brooklyn,4/30/22,5.8,-0.4,-6.5
Brooklyn,5/31/22,5.4,-0.4,-6.9
Brooklyn,6/30/22,5.5,0.1,1.9
Brooklyn,7/31/22,5.6,0.1,1.8
Brooklyn,8/31/22,5.3,-0.3,-5.4
Brooklyn,9/30/22,4.6,-0.7,-13.2
Brooklyn,10/31/22,5,0.4,8.7
Brooklyn,11/30/22,5,0,0
Brooklyn,12/31/22,4.9,-0.1,-2
Brooklyn,1/31/23,5.4,0.5,10.2
Brooklyn,2/28/23,5.5,0.1,1.9
Brooklyn,3/31/23,5.1,-0.4,-7.3
Brooklyn,4/30/23,4.7,-0.4,-7.8
Brooklyn,5/31/23,4.9,0.2,4.3
Brooklyn,6/30/23,5.2,0.3,6.1
Brooklyn,7/31/23,5.3,0.1,1.9
Brooklyn,8/31/23,5.5,0.2,3.8
Brooklyn,9/30/23,5,-0.5,-9.1
Brooklyn,10/31/23,5.2,0.2,4
Brooklyn,11/30/23,4.7,-0.5,-9.6
Brooklyn,12/31/23,4.7,0,0
Brooklyn,1/31/24,5,0.3,6.4
Brooklyn,2/29/24,5.2,0.2,4
Brooklyn,3/31/24,4.9,-0.3,-5.8
Brooklyn,4/30/24,4.8,-0.1,-2
Brooklyn,5/31/24,5,0.2,4.2
Brooklyn,6/30/24,5.6,0.6,12
Brooklyn,7/31/24,6.3,0.7,12.5
Brooklyn,8/31/24,6.2,-0.1,-1.6
Brooklyn,9/30/24,5.4,-0.8,-12.9
Brooklyn,10/31/24,5.6,0.2,3.7
Brooklyn,11/30/24,5.7,0.1,1.8
Brooklyn,12/31/24,5.4,-0.3,-5.3
Manhattan,1/31/22,6.4,0.3,4.9
Manhattan,2/28/22,5.8,-0.6,-9.4
Manhattan,3/31/22,5.2,-0.6,-10.3
Manhattan,4/30/22,4.7,-0.5,-9.6
Manhattan,5/31/22,4.5,-0.2,-4.3
Manhattan,6/30/22,4.8,0.3,6.7
Manhattan,7/31/22,4.7,-0.1,-2.1
Manhattan,8/31/22,4.4,-0.3,-6.4
Manhattan,9/30/22,3.9,-0.5,-11.4
Manhattan,10/31/22,4.2,0.3,7.7
Manhattan,11/30/22,4.2,0,0
Manhattan,12/31/22,4.2,0,0
Manhattan,1/31/23,4.6,0.4,9.5
Manhattan,2/28/23,4.8,0.2,4.3
Manhattan,3/31/23,4.5,-0.3,-6.3
Manhattan,4/30/23,4.1,-0.4,-8.9
Manhattan,5/31/23,4.4,0.3,7.3
Manhattan,6/30/23,4.7,0.3,6.8
Manhattan,7/31/23,4.7,0,0
Manhattan,8/31/23,4.9,0.2,4.3
Manhattan,9/30/23,4.5,-0.4,-8.2
Manhattan,10/31/23,4.7,0.2,4.4
Manhattan,11/30/23,4.2,-0.5,-10.6
Manhattan,12/31/23,4.2,0,0
Manhattan,1/31/24,4.4,0.2,4.8
Manhattan,2/29/24,4.7,0.3,6.8
Manhattan,3/31/24,4.5,-0.2,-4.3
Manhattan,4/30/24,4.3,-0.2,-4.4
Manhattan,5/31/24,4.5,0.2,4.7
Manhattan,6/30/24,5,0.5,11.1
Manhattan,7/31/24,5.6,0.6,12
Manhattan,8/31/24,5.5,-0.1,-1.8
Manhattan,9/30/24,4.9,-0.6,-10.9
Manhattan,10/31/24,5,0.1,2
Manhattan,11/30/24,5,0,0
Manhattan,12/31/24,4.7,-0.3,-6
Phoenix,1/31/22,3.5,0.6,20.7
Phoenix,2/28/22,3.3,-0.2,-5.7
Phoenix,3/31/22,3,-0.3,-9.1
Phoenix,4/30/22,3.1,0.1,3.3
Phoenix,5/31/22,3.3,0.2,6.5
Phoenix,6/30/22,3.7,0.4,12.1
Phoenix,7/31/22,3.7,0,0
Phoenix,8/31/22,3.7,0,0
Phoenix,9/30/22,3.4,-0.3,-8.1
Phoenix,10/31/22,3.3,-0.1,-2.9
Phoenix,11/30/22,3,-0.3,-9.1
Phoenix,12/31/22,2.8,-0.2,-6.7
Phoenix,1/31/23,3,0.2,7.1
Phoenix,2/28/23,3.1,0.1,3.3
Phoenix,3/31/23,3,-0.1,-3.2
Phoenix,4/30/23,2.9,-0.1,-3.3
Phoenix,5/31/23,3.2,0.3,10.3
Phoenix,6/30/23,3.6,0.4,12.5
Phoenix,7/31/23,3.6,0,0
Phoenix,8/31/23,3.6,0,0
Phoenix,9/30/23,3.4,-0.2,-5.6
Phoenix,10/31/23,3.4,0,0
Phoenix,11/30/23,3,-0.4,-11.8
Phoenix,12/31/23,2.8,-0.2,-6.7
Phoenix,1/31/24,3,0.2,7.1
Phoenix,2/29/24,2.9,-0.1,-3.3
Phoenix,3/31/24,2.6,-0.3,-10.3
Phoenix,4/30/24,2.5,-0.1,-3.8
Phoenix,5/31/24,2.9,0.4,16
Phoenix,6/30/24,3.4,0.5,17.2
Phoenix,7/31/24,3.7,0.3,8.8
Phoenix,8/31/24,3.6,-0.1,-2.7
Phoenix,9/30/24,3.3,-0.3,-8.3
Phoenix,10/31/24,3.3,0,0
Phoenix,11/30/24,3.3,0,0
Phoenix,12/31/24,3.1,-0.2,-6.1
Anaheim,1/31/22,4.6,0.5,12.2
Anaheim,2/28/22,3.9,-0.7,-15.2
Anaheim,3/31/22,3.5,-0.4,-10.3
Anaheim,4/30/22,3.1,-0.4,-11.4
Anaheim,5/31/22,2.8,-0.3,-9.7
Anaheim,6/30/22,3.3,0.5,17.9
Anaheim,7/31/22,3.3,0,0
Anaheim,8/31/22,3.4,0.1,3
Anaheim,9/30/22,3,-0.4,-11.8
Anaheim,10/31/22,3.1,0.1,3.3
Anaheim,11/30/22,3.2,0.1,3.2
Anaheim,12/31/22,2.8,-0.4,-12.5
Anaheim,1/31/23,3.4,0.6,21.4
Anaheim,2/28/23,3.4,0,0
Anaheim,3/31/23,3.3,-0.1,-2.9
Anaheim,4/30/23,2.9,-0.4,-12.1
Anaheim,5/31/23,3,0.1,3.4
Anaheim,6/30/23,3.5,0.5,16.7
Anaheim,7/31/23,3.6,0.1,2.9
Anaheim,8/31/23,3.9,0.3,8.3
Anaheim,9/30/23,3.7,-0.2,-5.1
Anaheim,10/31/23,3.7,0,0
Anaheim,11/30/23,3.6,-0.1,-2.7
Anaheim,12/31/23,3.5,-0.1,-2.8
Anaheim,1/31/24,3.9,0.4,11.4
Anaheim,2/29/24,3.9,0,0
Anaheim,3/31/24,3.7,-0.2,-5.1
Anaheim,4/30/24,3.5,-0.2,-5.4
Anaheim,5/31/24,3.3,-0.2,-5.7
Anaheim,6/30/24,4.1,0.8,24.2
Anaheim,7/31/24,4.5,0.4,9.8
